,Unnamed: 0,name,location,address,type,rating
19,421,Hen House American BBQ & Grill,Puerto Princesa,"Barangay Bancao Bancao Rizal Avenue | Tell the driver across from Citra Mina, Dagumboy Village, Puerto Princesa, Palawan Island 5300, Philippines"," American, Bar, Barbecue",5.0
18,430,Kusina ni Tito Ernie,Puerto Princesa,"Abanico Road | Barangay San Pedro, Puerto Princesa, Palawan Island 5300, Philippines","Filipino, Cafe, Asian",5.0
183,35,Sebo Pacific,Bacoor,"332 Diamond Street | Perpetual Village 4, Panapaan 8, Bacoor, Luzon 4102, Philippines","Filipino, Asian",4.5
178,71,House Of Yogurt Lover,Baguio,"# 39 Marcos Highway, Baguio, Luzon 2600, Philippines","Italian, Filipino, Cafe, Asian",4.5
179,73,Beggang Resto Grill,Baguio,"Skating Rink, Burnham Park | Jose Salcedo Street, Baguio, Luzon, Philippines","Filipino, Asian",4.5
180,74,Sakura Terrace,Baguio,"168 Military Cut-off | between Kubong Sawali and Zio's, Baguio, Luzon 2600, Philippines","Japanese, Asian, Vegetarian Friendly",4.5
181,530,Cafe Maja Rica,Tarlac,"219 MacArthur Hwy | Corner Ligtasan Street La Maja Rica Hotel, Tarlac, Luzon 4904, Philippines","Italian, American, Filipino",4.5
182,529,Rose and Grace Restaurant,Tanauan,"Tanauan City, Luzon, Philippines","Filipino, Asian, Vegetarian Friendly",4.5
185,80,Manpiyaan Café,Baguio,"217 Long Long Feder Road | BHM Building, Baguio, Luzon 2600, Philippines","Cafe, American, Filipino",4.5
186,34,Kat's,Bacoor,"Immaculata Street corner Abel Nosce Street, Las Pinas, Luzon 1747, Philippines","Cafe, International",4.5
187,532,Hamiltons Restaurant and Bar,Tarlac,"Caramutan, Tarlac, Luzon 2314, Philippines","Filipino, Asian, Vegetarian Friendly",4.5
188,32,Petit Bistro,Bacoor,"Civic Drive | Ground Level, Water Garden, Festival Supermall, Muntinlupa, Luzon 1780, Philippines","French, Spanish, Asian",4.5
190,86,El Toro German Restaurant,Batangas,"Diversion Road, Batangas City, Luzon 4200, Philippines","German, European",4.5
191,539,Jack Meets Kaldi Specialty Coffee,Tarlac,"Unit II - Cluster IV Ripples Building | Talon City Plaza, San Vicente, Tarlac, Luzon 2300, Philippines",Café,4.5
171,118,Umbria,Cabanatuan,"Maharlika Highway, Cabanatuan City, Luzon 3106, Philippines",Steakhouse,4.5
172,502,Fire Lake Grill,Tagaytay,"Unit 3 Cliffhouse Tagaytay | General Emilio Aguinaldo Highway, Tagaytay, Luzon 5120, Philippines","Steakhouse, International",4.5
170,116,Not Your Ordinary Koffee,Cabanatuan,"M. de Leon corner general tinio ext., Cabanatuan City, Luzon 3100, Philippines",Café,4.5
152,330,Casa Soriano Family Heirloom Cuisine,Naga,"39 Concepcion Grande | Inside Lisam Goodyear Servitek, Naga, Luzon 4400, Philippines","Filipino, Asian, Vegetarian Friendly",4.5
153,40,Meal Lab,Baguio,"Leonardo Wood Road | 3rd Floor, Leonard Wood Terraces, Baguio, Luzon 2600, Philippines","American, Filipino, Asian",4.5
154,28,Clash of Burgers,Bacoor,"Meadowood Ave | Blk22 lot3, Bacoor, Luzon, Philippines",Fast Food,4.5
158,27,Skillets and Grill,Bacoor,"Bf Resort Drive, Las Pinas, Luzon 1740, Philippinea","Filipino, Asian, Vegetarian Friendly",4.5
160,26,"Tong Yang Plus, SM City Bacoor",Bacoor,"Tirona Highway | SM City Bacoor, Bacoor, Luzon 4102, Philippines","Asian, Chinese, Filipino",4.5
169,114,Yellow Cab,Cabanatuan,"Maharlika Highway | Brgy. Hermogenes Concepcion, SM City Cabanatuan, Cabanatuan City, Luzon 3100, Philippines","Italian, American, Asian",4.5
162,107,Barj Cafe,Cabanatuan,"Maharlika Highway, Cabanatuan City, Luzon, Philippines","American, Filipino, Asian",4.5
163,507,Restaurant Verbena,Tagaytay,"Discovery Country Suites, 300 Calamba Road | San Jose, Tagaytay, Luzon, Philippines"," International, Vegetarian Friendly",4.5
164,62,Hamada,Baguio,"Baguio Country Club | Country Club Road, Baguio, Luzon, Philippines","Japanese, Sushi, Asian",4.5
165,110,Edna's Cakeland,Cabanatuan,"Kapt.Pepe Ave, Cabanatuan City, Luzon 3100, Philippines",Bakery,4.5
166,537,Urban Brew,Tarlac,"30 Romulo Boulevard | Terazza Building, Tarlac, Luzon 2300, Philippines","Filipino, Bar, Pizza",4.5
167,112,Rustica Restaurant,Cabanatuan,"Maharlika Highway | Across from Zulueta Street, Cabanatuan City, Luzon 3100, Philippines","Filipino, Asian, Vegetarian Friendly",4.5
168,60,Olive Café,Baguio,"19 Kisad Rd | Venus Parkview Hotel, Baguio, Luzon 2600, Philippines","Cafe, Italian, Chinese",4.5
193,30,Cafe Eight,Bacoor,"Civic Drive | Crimson Hotel Filinvest City Alabang, Muntinlupa, Luzon 1780, Philippines"," International, Vegetarian Friendly, Vegan Options",4.5
225,56,Eve's Garden,Baguio,"Lamtang Road | Benguet, Baguio, Luzon, Philippines","Healthy, Vegetarian Friendly, Vegan Options",4.5
196,540,Tatuns Kambingan,Tarlac,"7051 Fairlane Subd | San Vicente, Tarlac, Luzon 2300, Philippines","Filipino, Asian",4.5
219,41,Baguio Craft Brewery,Baguio,"Km 4 Marcos Hwy | 120 RKC Bldg., Baguio, Luzon 2600, Philippines","Fusion, Gastr, Pub",4.5
220,24,Yoree Korean Barbeque Dining - Molito,Bacoor,"Alabang-Zapote Rd | Alabang Zapote Rd. Cor. Madrigal Ave., Ayala Alabang,Muntinlupa City, Muntinlupa, Luzon 1799, Philippines","International, Barbecue, Asian",4.5
221,49,Roadhouse Barn Restaurant,Baguio,"#1 Villamor Drive, Brgy. Lualhati | Unit 119, Ground Floor, Albergo Hotel, Baguio, Luzon 2600, Philippines","American, Steakhouse, Bar",4.5
222,52,Amare La Cucina,Baguio,"1 Ignacio Villamor Street | Brgy. Lualhati, Baguio, Luzon 2600, Philippines","Italian, Pizza, Vegetarian Friendly",4.5
223,492,Cafe Voi La,Tagaytay,"Iruhin Crosswinds, Tagaytay, Luzon 4120, Philippines","Cafe, Asian, Thai",4.5
224,497,Morielli's Inn & Diner,Tagaytay,"Tagaytay - Calamba Rd Cor St. Francis Dr, Tagaytay, Luzon 4120, Philippines","Italian, Mexican, American",4.5
149,371,Crystal Dragon,Parañaque,"Aseana Boulevard corner Macapagal Avenue | Upper Ground Floor, Nüwa, Tower 1, Paranaque, Luzon 1701, Philippines","Chinese, Asian, Vegetarian Friendly",4.5
227,54,KING CHEF Dimsum Kitchen Baguio,Baguio,"49 Legarda Road, Baguio, Luzon 2600, Philippines","Chinese, Asian",4.5
228,19,The Black Pig,Bacoor,"2F Commercenter Alabang | Commerce cor East Asia Drive, Filinvest Corporate City, Muntinlupa, Luzon 1708, Philippines","European, Contemporary",4.5
229,542,Thuk Thuk Restaurant & Pastries,Tarlac,"Concepcion - Capas Road | Brgy. San Juan Concepcion,, Tarlac, Luzon 2316, Philippines",Thai,4.5
230,69,The Tasting Room at Baguio Craft Brewery,Baguio,"120 Marcos Highway | 120 RKC Bldg., Baguio, Luzon 2600, Philippines","Fusion, Gastro, Pub, American",4.5
231,22,Bawai's Vietnamese Kitchen,Bacoor,"5 J.Hernandez St | Silang Cavite, Silang, Luzon 4118, Philippines","Asian, Vietnamese, Vegetarian Friendly",4.5
233,491,Aozora Japanese Restaurant,Tagaytay,"SVD Road | Corner Tagaytay-Calamba Road, Tagaytay, Luzon 2418, Philippines","Japanese, Sushi, Asian",4.5
234,50,Red Rustikz,Baguio,"82 Upper General Luna Road, Baguio, Luzon 2600, Philippines","Italian, Pizza, European",4.5
236,490,Antonio's Garden,Tagaytay,"Purok 138, Barangay Neogan | Barangay Neogan, Tagaytay, Luzon, Philippines","Deli, Vegetarian Friendly, Vegan Options",4.5
237,20,Ramen Yushoken,Bacoor,"Molito, Madrigal Avenue | Madrigal Avenue cor. Zapote Road, Muntinlupa, Luzon, Philippines","Japanese, Asian, Soups",4.5
218,2,VU's,Antipolo,"Meralco Avenue and Sapphire Road | Marco Polo Ortigas Manila, Pasig, Luzon 1600, Philippine","Bar, Pub",4.5
205,482,Ridge Park Kainan sa Kubo,Tagaytay,"Maharlika West, Tagaytay, Luzon 4120, Philippines","Filipino, Asian",4.5
197,68,Health 100,Baguio,"Magsaysay Avenue, Baguio, Luzon, Philippines","Vegetarian Friendly, Vegan Options",4.5
198,25,The Nest Alabang,Bacoor,"31/F Vivere Hotel, 5102 Bridgeway Ave. cor., Asean Drive, Filinvest Corporate City | Vivere Hotel, Muntinlupa, Luzon 1781, Philippines","Filipino, Asian, Fusion",4.5
199,57,Habibis Grill,Baguio,"Shuntug Street Corner F. Bautista Drive | Lower ground floor, Travel Lite Express Hotel, Baguio, Luzon 2600, Philippines","Lebanese, Filipino, Mediterranean",4.5
200,16,"Four Seasons Buffet & Hotpot, Araneta Center Cubao",Antipolo,"Manhattan Parkview, Gen. Roxas Avenue | Araneta Center, Cubao, Quezon City, Luzon 1109, Philippine","Filipino, Sushi, Asian",4.5
201,486,Siglo Modern Filipino,Tagaytay,"Sungay East 3500 Tagaytay Calamba Road, Tagaytay, Luzon 4120, Philippines","Filipino, Asian, Vegetarian Friendly",4.5
202,45,Vincent's Place,Baguio,"# 8 Loakan Road, Baguio, Luzon 2600, Philippines","Filipino, Asian, Vegetarian Friendly",4.5
203,483,Gabriella at Nurture Wellness Village,Tagaytay,"#7310 | Pulong Sagingan, Barangay Maitim II West Cavite, Tagaytay, Luzon 4120, Philippines","Filipino, Asian, Vegetarian Friendly",4.5
204,15,Seven Corners,Antipolo,"Corner Asian Development Bank and Ortigas Avenues | Crowne Plaza Galleria Manila, Quezon City, Luzon 1100, Philippines","International, Asian, Vegetarian Friendly",4.5
206,14,FAB Restaurant,Antipolo,"#1 Adb Avenue | Ortigas Center, Pasig, Luzon 1655, Philippines","American, Indian, Filipino",4.5
207,10,Millie's All-Day Dining at Microtel UP Technohub QC,Antipolo,"Microtel by Wyndham UP Technohub Commonwealth Avenue | UP-AyalaLand Technohub, Diliman, Quezon City, Luzon 1121, Philippines","Italian, Filipino, International",4.5
209,43,Farmer's Daughter Restaurant,Baguio,"Tam-Awan, Long Long, Baguio, Luzon 2600, Philippines","Filipino, Asian, Vegetarian Friendly",4.5
211,548,Memphis Garden Café and Grille,Tayabas,"Graceland Estates and County Club, Barangay Camaysa, Tayabas City,  Luzon, Philippines","American, Filipino,  Café, Seafood",4.5
212,5,22 Prime,Antipolo,"1 Adb Avenue | 25 ADB Avenue, Ortigas Center, Pasig, Luzon 1605, Philippines","Steakhouse, International, Vegetarian Friendly",4.5
213,549,Air Summit Gourmet,Tayabas,"Brgy. Dapdap, Tayabas-Lucban Road, Tayabas City, Luzon, Philippines","Filipino, Asian",4.5
150,272,Yabu. The House of Katsu,Marikina,"2/F the Block, SM North Edsa, Quezon City, Luzon, Philippines","Japanese, Asian, Vegetarian Friendly",4.5
173,59,Majic Oven Bakeshop & Café,Baguio,"114 Les Sarfenelle, Baguio, Luzon 2600, Philippines","Italian, Pizza, Cafe",4.5
148,373,Ramen Kuroda,Parañaque,"96 Aguirre Ave. Phase 1 BF Homes, Paranaque, Luzon 1720, Philippines","Japanese, Asian, Soups",4.5
82,450,Cafe Noelle - GREENFIELDS,San Fernando Pampanga,"Greenfields Square | MacArthur Highway, San Fernando, Luzon 2000, Philippines","American, Filipino, International",4.5
84,453,Bubusuk Goto Anne Corner,San Fernando Pampanga,"Magdalena Street Lazatin Blvd San Agustin San Fernando Pampanga, San Fernando, Luzon 2000, Philippines","Filipino, Asian, Vegetarian Friendly",4.5
85,205,Gilians Sea Wharf Chef,Legazpi,"Port Area | Victory Village, Legazpi, Luzon 4500, Philippines","Filipino, Asian",4.5
86,461,The SOUQ Pampanga,San Fernando Pampanga,"Lazatin Blvd., San Fernando, Luzon 2000, Philippines","Filipino, Asian, International",4.5
87,206,Zoe's Kitchen & Fat Wacky's,Legazpi,"Puro, Legazpi, Luzon 4500, Philippines","Filipino, Bar, Asian",4.5
88,432,Asiano Gourmet Cuisine,Puerto Princesa,"Beach Front | Brgy. Cabayugan, Sabang, Puerto Princesa, Palawan Island, Philippines","Filipino, Seafood, Asian",4.5
89,431,Namaskar Vegetarian,Puerto Princesa,"75-P Burgos Street, Puerto Princesa, Palawan Island 5300, Philippines"," Filipino, Asian, Vegetarian Friendly",4.5
90,456,Vikings,San Fernando Pampanga,"Jose Abad Santos Avenue | SM Pampanga, Mexico, Luzon 2021, Philippines","Chinese, Japanese, Filipino",4.5
91,428,Tadzmaki Sushi Restaurant,Puerto Princesa,"Wescom Road | #4 Romasanta Street, Barangay San Pedro, Beside Dolce Vita Hotel, Puerto Princesa, Palawan Island 5300, Philippines","Japanese, Sushi, Asian",4.5
92,426,The Food Jeepney,Puerto Princesa,"Rizal Avenue, Puerto Princesa, Palawan Island 5300, Philippines"," French, Polish, European",4.5
93,460,Ruben,San Fernando Pampanga,"MacArthur Highway, San Fernando, Luzon 2000, Philippines","Caribbean, Latin, International",4.5
94,214,Cres Snack Inn,Legazpi,"Rizal Street, Legazpi, s","Filipino, Chinese",4.5
95,202,Altrove BF Homes,Las Piñas,"858 Tropical Avenue | BF Homes, Las Pinas, Luzon 1747, Philippines"," Italian, Pizza, European",4.5
96,0,Xin Tian Di,Antipolo,"Fourth Floor | Crowne Plaza Galleria. Ortigas Avenue, Quezon City, Luzon, Philippines","Chinese, Asian, Vegetarian Friendly",4.5
97,226,Ala Fiesta,Lipa," | Sabang Rotonda, Lipa City, Luzon, Philippines",Filipino,4.5
98,311,Vue Bar,Muntinlupa,"Filinvest Corporate City, Alabang, Munt Bridgeway, Muntinlupa, Luzon 1799, Philippines","Bar, Pub, Contemporary",4.5
99,277,A-Won Commer Center,Muntinlupa,"Commerce Corner Filinvest Avenue Filinvest City | Commer Center 2F, Muntinlupa, Luzon, Philippine"," Asian, Korean, Barbecue",4.5
100,363,Daniele's CASA MIA,Parañaque,"Dr. A. Santos Avenue | 300 mt from new SM BF Paranaque, Paranaque, Luzon, Philippines","Italian, Pizza, Vegetarian Friendly",4.5
101,359,Dragon Bar,Parañaque,"1 Aseana Avenue | Entertainment City, Solaire Resort & Casino, Paranaque, Luzon 1701, Philippines","Bar, Pub",4.5
102,291,Caviar Restaurant and Champagne Bar,Muntinlupa,"Unit A-206, westgate centre, Alabang, Muntinlupa, Luzon 1781, Philippines","Grill, French, Seafood",4.5
83,434,Painted Table,Puerto Princesa,"North Road Cor. San Juan Road | Canvas Boutique Hotel, Brgy San Miguel, Puerto Princesa, Palawan Island 5300, Philippines","Mexican, International, Vegetarian Friendly",4.5
81,413,Kusinero's Bila'O order & Catering Services,Puerto Princesa,"Rizal ave. Extension Dagumboy, Puerto Princesa, Palawan Island, Philippines","Mexican, Filipino, Asian",4.5
104,355,La Chinesca,Parañaque,"248 A. Aguirre Avenue | BF Homes, Paranaque, Paranaque, Luzon 1720, Philippines",Mexican,4.5
80,447,Fat Tony's Restaurant,Puerto Princesa,"Southwind Resort,South National Highway, Tiniguiban | If arriving by tricycle, ask for the adjacent landmark: Star Oil Tiniguiban., Puerto Princesa, Palawan Island, Philippines",", Filipino, International, Vegetarian Friendly",4.5
61,420,Hibiscus Pizzeria and Bar,Puerto Princesa,"Manalo Street | Barangay Milagrosa, Hibiscus Garden Inn, Puerto Princesa, Palawan Island 5300, Philippines","Italian, Pizza, Vegetarian Friendly",4.5
147,376,Medley Buffet,Parañaque,"Okada Manila, New Seaside Drive, Entertainment City, Paranaque, Luzon 1701, Philippines","International, Asian, Vegan Options",4.5
62,440,Haim Chicken,Puerto Princesa,"294 Manalo Extension | 294 Manalo Extension Street, Puerto Princesa, Palawan Island 5300, Philippines","Asian, Grill, Filipino",4.5
63,419,CAPTAIN RIBS,Puerto Princesa,"295 Manalo Extension | Bancao Bancao, Puerto Princesa, Palawan Island 5300, Philippines","Filipino, Barbecue, European",4.5
64,464,Denlim's Kitchen,San Fernando Pampanga,"Maharlika St., San Fernando, Luzon, Philippines","Filipino, Asian, Fusion",4.5
65,465,Rainforest Kitchen,San Fernando Pampanga,"I Pope Building | Greenfields Commercial Complex, San Fernando, Luzon, Philippines",Mediterranean,4.5
67,466,The Orange Bucket,San Fernando Pampanga,"Kalahi Industrial Road | San Isidro, City of San Fernando Pampanga, San Fernando, Luzon 2000, Philippines","Cajun & Creole, Seafood, Asian",4.5
68,418,Kalui Restaurant,Puerto Princesa,"369 Rizal Avenue, Puerto Princesa, Puerto Princesa, Palawan Island 5300, Philippines","Filipino, Seafood, Asian",4.5
69,417,La Terrasse Cafe,Puerto Princesa,"Rizal Avenue | Bancao Bancao / Fullbright School, Puerto Princesa, Palawan Island 5300, Philippines","Filipino, European, Asian",4.5
70,416,Deep Forest Wine Bar & Restaurant,Puerto Princesa,"Gabinete Road Bancao Bancao | Idiots, Puerto Princesa, Palawan Island 5300, Philippines","European, Asian, International",4.5
71,415,Ima's Vegetarian Restaurant,Puerto Princesa,"46 Fernandez Street, Puerto Princesa, Palawan Island 5300, Philippines","Healthy, Vegetarian Friendly, Vegan Options",4.5
72,169,Pallet House,Iriga,"084 Dahlia St., San Miguel, Iriga City, Luzon,  Philippines",Café,4.5
74,423,L element bar&seafood Restaurant,Puerto Princesa,"Bancao Bancao,Puerto Princesa,Palawan,Philippines Rizal Avenue, Puerto Princesa, Palawan Island 5300, Philippines","Chinese, Asian, Seafood",4.5
77,196,Sambo Kojin,Las Piñas,"G/F Eastwing Food Street | SM Southmall, Alabang-Zapote Road, Las Pinas, Luzon 1708, Philippines","Japanese, Asian, Sushi",4.5
78,442,Olio E Basilico Ristorante,Puerto Princesa,"Villarosa Street | Bancao Bancao, Puerto Princesa, Palawan Island 5300, Philippines","Italian, Pizza, Mediterranean",4.5
79,446,Fujisan,Puerto Princesa,"Manalo St | Brgy. Tanglaw, Puerto Princesa, Palawan Island 5300, Philippines"," Japanese, Sushi, Asian",4.5
103,293,Phoenix Court Chinese Restaurant,Muntinlupa,"N Bridgeway Muntinlupa | Bellevue Hotel Manila, Muntinlupa, Luzon 1781, Philippines","Chinese, Asian, Vegetarian Friendly",4.5
76,454,Parmisanos Bistro,San Fernando Pampanga,"KM78 McArthur Highway San Agustin San Fernando Pampanga | Across Vista Mall, San Fernando, Luzon 2000, Philippines","Italian, Pizza, Filipino",4.5
105,354,Sensei Sushi,Parañaque,"268 A.Aguirre Ave, Paranaque, Luzon 1720, Philippines","Japanese, Sushi, Asian",4.5
126,248,MJD Urban Escape Farm,Lucena,"Bocohan, Lucena City, Luzon, Philippines","Filipino, Asian",4.5
128,230,Gastro Publiko,Lipa,"Ayala Highway, Lipa City, Luzon 4217, Philippines","Filipino, Asian",4.5
129,231,Casa Marikit,Lipa,"Banay-Banay Concepcion | Road to Mataas Na Kahoy opposite Lipa Air Force driving Range., Lipa City, Luzon, Philippines","Italian, Pizza, Vegetarian Friendly",4.5
130,232,Candlelight Café,Lipa,"222 Pres. J. P. Laurel Highway, Lipa City, Luzon 4217, Philippines",Cafe,4.5
131,407,Artisans,Puerto Princesa,"ARL Building | Rizal Ave, Brgy San Miguel, Puerto Princesa, Palawan Island 5300, Philippines","European, International, Vegetarian Friendly",4.5
